hsn8,commodity,chapter,exp_usd_mn_fy25,exp_usd_mn_fy26,imp_usd_mn_fy25,imp_usd_mn_fy26,net_usd_mn_fy25,net_usd_mn_fy26,net_change_usd_mn
29061190,OTHERS-OF-MENTHOL,29,53.45,45.5,132.2,148.31,-78.75,-102.81,-24.06
59032090,OTHER FABRCS IMPGRNTD LAMNTND PLTD AND    COATED WITH POLYURETHANE,59,8.27,8.77,126.89,145.58,-118.62,-136.81,-18.19
29221990,"OTHERS-OF-OTHER: N,N-DIALKYL (METHYL, ETHYL, N-PROPYL OR ISOPROPYL) -2-AMINOETHANOLS AND THEIR PROTONATED SALTS :",29,77.76,87.63,157.67,145.03,-79.91,-57.4,22.51
63109040,SYNTHETIC RAGS,63,4.69,3.61,119.08,139.89,-114.39,-136.28,-21.89
39129090,"OTHERS CELLULOSE,ITS CHEMCL DRVTVS IN     PRIMARY FORMS EXCL CELLULOSE ACETATES/    CELLULOSE NITRATES/CELLULOSE ETHERS/",39,120.53,140.87,126.44,135.83,-5.91,5.04,10.95
39071000,POLYACETALS,39,2.15,1.04,130.68,135.62,-128.53,-134.58,-6.05
60063200,"OTHR KNITD OR CROCHETD FBRCS OF SYN       FIBRS, DYED",60,19.61,25.77,151.23,133.66,-131.62,-107.89,23.73
29291020,TOLUENE DIISOCYANATE,29,1.67,1.28,140.71,133.6,-139.04,-132.32,6.72
29031500,"1,2 DICHLOROMETHANE (ETHYLNE DICHLORIDE)",29,0.11,1.14,198.36,132.51,-198.25,-131.37,66.88
53012100,"FLAX,BROKN OR SCUTCHD BUT NT SPUN",53,0.06,0.12,133.3,131.73,-133.24,-131.61,1.63
39119090,OTHER PRODUCTS IN RIMARY FORMS  NES,39,78.65,76.73,136.71,129.54,-58.06,-52.81,5.25
29021990,"OTHERS-OF-OTHER CYCLANES,CYCLENES AND CYCLOTERPENES",29,21.92,26.92,119.63,127.92,-97.71,-101.0,-3.29
39039090,OTHR POLYMERS OF STYRENE IN PRIMARY FORMS,39,20.92,24.91,118.4,126.26,-97.48,-101.35,-3.87
39052900,VNYL ACETT COPOLYMR EXCL IN AQOUS DISPRSN,39,5.25,1.66,132.71,125.18,-127.46,-123.52,3.94
50020010,MULBERRY RAW SILK,50,2.93,0.21,94.44,124.16,-91.51,-123.95,-32.44
60041000,KNITD OR CROCHETED FBRCS OF WIDTH>30CM    CONTNG ELASTOMERIC YARN>=5% BY WT BUT NOT RUBER THREAD,60,126.5,119.3,103.4,118.21,23.1,1.09,-22.01
39029000,OTHR POLYMERS OF PROPYLENE IN PRMRY FORMS,39,12.72,15.55,120.49,117.93,-107.77,-102.38,5.39
29039990,OTHER OF HDG. 290399,29,61.93,80.88,124.26,115.2,-62.33,-34.32,28.01
29053990,OTHER DIOLS,29,44.36,34.84,94.43,114.65,-50.07,-79.81,-29.74
39259090,OTHER BUILDERS WARE OF PLASTICS NES,39,61.04,79.68,71.73,113.54,-10.69,-33.86,-23.17
39162019,OTHER OF CO-POLMRS OF VINYL CHLRIDE,39,2.22,1.82,103.98,113.44,-101.76,-111.62,-9.86
39111090,OTHERS-OF-PETROLEUM RESINS COUMARONE INDENE ORCOUMARONE-INDENE RESINS AND POLYTERPENES,39,4.21,3.75,130.26,113.43,-126.05,-109.68,16.37
63101020,"COTTON RAGS,NEW OR USED",63,6.62,6.5,124.58,112.38,-117.96,-105.88,12.08
39202090,PLTES SHTS OF POLYMRS OF PROPYLN NES,39,163.88,152.7,82.94,110.95,80.94,41.75,-39.19
29336100,MELAMINE,29,12.09,22.74,107.95,109.77,-95.86,-87.03,8.83
51011100,"SHORN WOOL,GREASY,INCL FLEECE-WASHED",51,0,0,91.93,109.76,-91.93,-109.76,-17.83
39089000,OTHERS-OF-OTHER POLYAMIDES,39,43.09,44.59,102.59,109.46,-59.5,-64.87,-5.37
29411010,PENICILLINS AND ITS SALTS,29,0.02,0.14,232.05,109.18,-232.03,-109.04,122.99
39239090,OTHR ARTCLS FOR CNVYNCE/PCKNG OF GOODS NES,39,211.59,213.84,106.45,107.08,105.14,106.76,1.62
39073090,OTHERS-OF-EPOXIDE RESINS,39,7.96,22.48,88.86,107.04,-80.9,-84.56,-3.66
29103000,"1-CHLORO-2,3-EPOXYPRPNE(EPICHLOROPHYDRIN)",29,15.68,7.62,70.57,106.98,-54.89,-99.36,-44.47
29224100,LYSINE AND ITS ESTERS SALTS THEREOF,29,1.77,3.72,135.56,106.13,-133.79,-102.41,31.38
39076990,OTHERS-OF-OTHER: POLY(ETHYLENE TEREPHTHALATE),39,125.58,121.51,147.79,105.37,-22.21,16.14,38.35
